,Fuel Type Code,Station Name,Street Address,Latitude,Longitude,ZIP,Open Date
1209,ELEC,BEACH HARBOR VILLAGE1,2709 E Atlantic Blvd,26.232003999999996,-80.096194,33062,
1210,ELEC,REEDY CREEK LIME GARAGE 2,1652 Buena Vista Dr,28.370016999999997,-81.515812,32836,
1211,ELEC,RGPT PARKWAY EV CHARGER 01,14964 Max Leggett Pkwy,30.481861,-81.64061600000001,32218,
1212,ELEC,UNF HICKS HALL 01,4850 1st Coast Tech Pkwy,30.261484000000003,-81.494747,32224,
1213,ELEC,SUNTRUST STFC #2,401 E Jackson St,27.946995,-82.456148,33602,
1214,ELEC,FNF EV CHARGER 01,601 Riverside Ave,30.319347999999998,-81.675032,32204,
1215,ELEC,USF PATEL CGS,11810 USF Alumni Drive,28.055816999999998,-82.408233,33620,
1216,ELEC,5260 PASEO PKG 5252 PASEO,5252 paseo blvd,25.819378,-80.336336,33166,
1217,ELEC,JAX ZOO EV CHARGER 01,370 Zoo Parkway,30.404379,-81.643559,32218,
1218,ELEC,JTA KINGS AVE GAR 1,1003 Kings Avenue,30.312813000000002,-81.652582,32207,
1219,ELEC,STETSON UNIV. WELCOME CTR 01,421 N Woodland Blvd,29.03593,-81.302925,32723,
1220,ELEC,OUC CITRUS BOWL 01,1 Citrus Bowl Place,28.537671999999997,-81.40176600000001,32805,
1221,ELEC,MOSH EV CHARGER 01,1025 Museum Cir,30.3189,-81.659343,32207,
1222,ELEC,900 BLDG EV CHARGER 01,900 University Blvd N,30.329309000000002,-81.60548299999999,32211,
1223,ELEC,LARRYS SUBS EV CHARGER 01,4479 Deerwood Lake Pkwy,30.264621,-81.558673,32216,
1224,ELEC,"ORANGE PARK, FL EV CHARGER 01",2042 Park Ave,30.164389,-81.701332,32073,
1225,ELEC,JACKSONVILLE FL LIBRARY GAR. 01,33 W Duval St,30.329790999999997,-81.65785,32202,
1226,ELEC,JACKSONVILLE FL YATES GARAGE 01,200 E Adams Street,30.326766999999997,-81.654967,32202,
1227,ELEC,NORTHFLORIDATPO EV CHARGER 01,980 N Jefferson St,30.336323999999998,-81.665054,32202,
1228,ELEC,FLORIDA   TECH CHARGER 2,3217 Psychology Pl,28.060924,-80.62433100000001,32901,
